city,date,pm25,pm10,o3,no2,so2,co
jharsuguda,2021-07-03,205.0,149.0,46.0,6.0,3.0,16.0
jharsuguda,2021-07-04,134.0,67.0,34.0,4.0,9.0,11.0
jharsuguda,2021-07-05,62.0,,,,,
jharsuguda,2021-07-06,47.0,33.0,20.0,,,10.0
jharsuguda,2021-07-07,14.0,26.0,2.0,30.0,12.0,17.0
jharsuguda,2021-07-09,10.0,24.0,1.0,2.0,14.0,7.0
jharsuguda,2021-07-10,,46.0,,,18.0,7.0
jharsuguda,2021-07-11,91.0,54.0,53.0,3.0,18.0,7.0
jharsuguda,2021-07-12,81.0,44.0,40.0,8.0,11.0,8.0
jharsuguda,2021-08-01,162.0,106.0,31.0,4.0,17.0,12.0
jharsuguda,2021-08-02,123.0,107.0,36.0,6.0,18.0,15.0
jharsuguda,2021-08-03,212.0,75.0,28.0,6.0,8.0,16.0
jharsuguda,2021-08-04,103.0,53.0,22.0,6.0,5.0,11.0
jharsuguda,2021-08-06,67.0,11.0,4.0,,,9.0
jharsuguda,2021-08-07,49.0,28.0,2.0,34.0,15.0,10.0
jharsuguda,2021-08-09,44.0,22.0,1.0,2.0,14.0,7.0
jharsuguda,2021-08-10,,61.0,22.0,,23.0,7.0
jharsuguda,2021-08-11,111.0,68.0,62.0,3.0,14.0,8.0
jharsuguda,2021-08-12,79.0,45.0,40.0,8.0,10.0,7.0
jharsuguda,2021-09-01,166.0,115.0,18.0,3.0,8.0,14.0
jharsuguda,2021-09-02,160.0,114.0,37.0,6.0,14.0,15.0
jharsuguda,2021-09-03,125.0,67.0,29.0,4.0,4.0,14.0
jharsuguda,2021-09-04,86.0,57.0,29.0,9.0,3.0,11.0
jharsuguda,2021-09-05,,44.0,40.0,,7.0,10.0
jharsuguda,2021-09-06,21.0,,,,,
jharsuguda,2021-09-07,54.0,39.0,5.0,34.0,14.0,13.0
jharsuguda,2021-09-09,50.0,23.0,,2.0,12.0,7.0
jharsuguda,2021-09-10,,45.0,39.0,,18.0,7.0
jharsuguda,2021-09-11,124.0,70.0,67.0,3.0,14.0,8.0
jharsuguda,2021-09-12,77.0,44.0,38.0,8.0,8.0,8.0
jharsuguda,2021-10-01,171.0,87.0,24.0,3.0,9.0,11.0
jharsuguda,2021-10-02,162.0,121.0,34.0,5.0,14.0,15.0
jharsuguda,2021-10-03,115.0,56.0,33.0,5.0,3.0,11.0
jharsuguda,2021-10-04,90.0,60.0,26.0,9.0,3.0,11.0
jharsuguda,2021-10-05,69.0,42.0,39.0,,7.0,11.0
jharsuguda,2021-10-07,77.0,19.0,1.0,34.0,13.0,12.0
jharsuguda,2021-10-09,45.0,8.0,,2.0,15.0,7.0
jharsuguda,2021-10-11,106.0,61.0,49.0,3.0,12.0,8.0
jharsuguda,2021-10-12,85.0,47.0,18.0,8.0,12.0,8.0
jharsuguda,2021-11-01,149.0,72.0,27.0,3.0,11.0,12.0
jharsuguda,2021-11-02,138.0,103.0,26.0,5.0,16.0,14.0
jharsuguda,2021-11-03,94.0,53.0,24.0,5.0,20.0,11.0
jharsuguda,2021-11-04,87.0,62.0,33.0,9.0,2.0,11.0
jharsuguda,2021-11-05,51.0,46.0,37.0,4.0,7.0,10.0
jharsuguda,2021-11-07,34.0,10.0,,34.0,12.0,16.0
jharsuguda,2021-11-09,,12.0,,2.0,11.0,7.0
jharsuguda,2021-11-10,,55.0,29.0,,13.0,7.0
jharsuguda,2021-11-11,101.0,59.0,45.0,3.0,17.0,8.0
jharsuguda,2021-11-12,90.0,52.0,31.0,8.0,12.0,8.0
jharsuguda,2021-12-01,136.0,65.0,29.0,4.0,16.0,11.0
jharsuguda,2021-12-02,,98.0,30.0,4.0,8.0,15.0
jharsuguda,2021-12-03,91.0,25.0,20.0,4.0,43.0,10.0
jharsuguda,2021-12-04,94.0,71.0,31.0,13.0,1.0,12.0
jharsuguda,2021-12-05,81.0,18.0,12.0,5.0,6.0,9.0
jharsuguda,2021-12-07,15.0,10.0,,33.0,13.0,12.0
jharsuguda,2021-12-09,,20.0,,2.0,11.0,7.0
jharsuguda,2021-12-10,,55.0,41.0,,18.0,7.0
jharsuguda,2021-12-11,85.0,48.0,24.0,3.0,13.0,8.0
jharsuguda,2021-12-12,101.0,59.0,45.0,,11.0,8.0
jharsuguda,2022-01-01,76.0,43.0,31.0,,16.0,8.0
jharsuguda,2022-01-02,101.0,62.0,36.0,8.0,12.0,8.0
jharsuguda,2022-01-04,154.0,86.0,84.0,3.0,12.0,7.0
jharsuguda,2022-01-05,125.0,48.0,48.0,11.0,8.0,9.0
jharsuguda,2022-01-06,78.0,69.0,14.0,10.0,15.0,8.0
jharsuguda,2022-01-07,48.0,36.0,3.0,6.0,5.0,8.0
jharsuguda,2022-01-08,77.0,50.0,,5.0,4.0,8.0
jharsuguda,2022-01-09,29.0,27.0,,5.0,5.0,8.0
